Player,Team,BYE,POS,Age,Key,FO ID,Risk,Fpts
Marshawn Lynch,SEA,9,RB,29,Marshawn Lynch|SEA|RB,LynchMar07,Green,233
Eddie Lacy,GB,7,RB,25,Eddie Lacy|GB|RB,LacyEdd13,Green,229
Le'Veon Bell,PIT,11,RB,23,Le'Veon Bell|PIT|RB,BellLev13,Yellow,218
Jamaal Charles,KC,9,RB,29,Jamaal Charles|KC|RB,CharlesJam08,Green,217
Dez Bryant,DAL,6,WR,27,Dez Bryant|DAL|WR,BryantDez10,Green,216
C.J. Anderson,DEN,7,RB,24,C.J. Anderson|DEN|RB,AndersonC.J13,Yellow,211
Antonio Brown,PIT,11,WR,27,Antonio Brown|PIT|WR,BrownAnt10,Green,211
Adrian Peterson,MIN,5,RB,30,Adrian Peterson|MIN|RB,PetersonAdr07,Red,205
Matt Forte,CHI,7,RB,30,Matt Forte|CHI|RB,ForteMat08,Green,204
Jeremy Hill,CIN,7,RB,23,Jeremy Hill|CIN|RB,HillJer14,Green,203
Aaron Rodgers,GB,7,QB,32,Aaron Rodgers|GB|QB,RodgersAar05,Green,375
Demaryius Thomas,DEN,7,WR,28,Demaryius Thomas|DEN|WR,ThomasDem10,Yellow,204
Andrew Luck,IND,10,QB,26,Andrew Luck|IND|QB,LuckAnd12,Green,373
DeMarco Murray,PHI,8,RB,27,DeMarco Murray|PHI|RB,MurrayDeM11,Red,198
Calvin Johnson,DET,9,WR,30,Calvin Johnson|DET|WR,JohnsonCal07,Red,198
Rob Gronkowski,NE,4,TE,26,Rob Gronkowski|NE|TE,GronkowskiRob10,Yellow,165
Julio Jones,ATL,10,WR,26,Julio Jones|ATL|WR,JonesJul11,Green,192
Odell Beckham,NYG,11,WR,23,Odell Beckham|NYG|WR,BeckhamOde14,Green,191
LeSean McCoy,BUF,8,RB,27,LeSean McCoy|BUF|RB,McCoyLeS09,Green,185
Jordy Nelson,GB,7,WR,30,Jordy Nelson|GB|WR,NelsonJor08,Green,183
Alshon Jeffery,CHI,7,WR,25,Alshon Jeffery|CHI|WR,JefferyAls12,Green,183
Justin Forsett,BAL,9,RB,30,Justin Forsett|BAL|RB,ForsettJus08,Yellow,179
Lamar Miller,MIA,5,RB,24,Lamar Miller|MIA|RB,MillerLam12,Green,179
Randall Cobb,GB,7,WR,25,Randall Cobb|GB|WR,CobbRan11,Green,175
A.J. Green,CIN,7,WR,27,A.J. Green|CIN|WR,GreenA.J11,Green,171
DeAndre Hopkins,HOU,9,WR,23,DeAndre Hopkins|HOU|WR,HopkinsDea13,Green,167
T.Y. Hilton,IND,10,WR,26,T.Y. Hilton|IND|WR,HiltonT.Y12,Green,166
Melvin Gordon,SD,10,RB,22,Melvin Gordon|SD|RB,GordonMel15,Green,162
Emmanuel Sanders,DEN,7,WR,28,Emmanuel Sanders|DEN|WR,SandersEmm10,Green,164
Alfred Morris,WAS,8,RB,27,Alfred Morris|WAS|RB,MorrisAlf12,Yellow,161
Jimmy Graham,SEA,9,TE,29,Jimmy Graham|SEA|TE,GrahamJim10,Yellow,133
Mike Evans,TB,6,WR,22,Mike Evans|TB|WR,EvansMik14,Red,161
Greg Olsen,CAR,5,TE,30,Greg Olsen|CAR|TE,OlsenGre07,Green,126
Drew Brees,NO,11,QB,36,Drew Brees|NO|QB,BreesDre01,Yellow,324
Russell Wilson,SEA,9,QB,27,Russell Wilson|SEA|QB,WilsonRus12,Green,323
Mark Ingram,NO,11,RB,26,Mark Ingram|NO|RB,IngramMar11,Green,150
Kelvin Benjamin,CAR,5,WR,24,Kelvin Benjamin|CAR|WR,BenjaminKel14,Yellow,152
Frank Gore,IND,10,RB,32,Frank Gore|IND|RB,GoreFra05,Red,147
Peyton Manning,DEN,7,QB,39,Peyton Manning|DEN|QB,ManningPey98,Yellow,312
Joseph Randle,DAL,6,RB,24,Joseph Randle|DAL|RB,RandleJos13,Red,139
Travis Kelce,KC,9,TE,26,Travis Kelce|KC|TE,KelceTra13,Green,113
Brandin Cooks,NO,11,WR,22,Brandin Cooks|NO|WR,CooksBra14,Green,140
DeSean Jackson,WAS,8,WR,29,DeSean Jackson|WAS|WR,JacksonDeS08,Green,140
