fo_player_id,key,name,team,pos,age,risk,bye,fpts
LynchMar07,Marshawn Lynch|SEA|RB,Marshawn Lynch,SEA,RB,29,Green,9,233.0
LacyEdd13,Eddie Lacy|GB|RB,Eddie Lacy,GB,RB,25,Green,7,229.0
BellLev13,Le'Veon Bell|PIT|RB,Le'Veon Bell,PIT,RB,23,Yellow,11,218.0
CharlesJam08,Jamaal Charles|KC|RB,Jamaal Charles,KC,RB,29,Green,9,217.0
BryantDez10,Dez Bryant|DAL|WR,Dez Bryant,DAL,WR,27,Green,6,216.0
AndersonC.J13,C.J. Anderson|DEN|RB,C.J. Anderson,DEN,RB,24,Yellow,7,211.0
BrownAnt10,Antonio Brown|PIT|WR,Antonio Brown,PIT,WR,27,Green,11,211.0
PetersonAdr07,Adrian Peterson|MIN|RB,Adrian Peterson,MIN,RB,30,Red,5,205.0
ForteMat08,Matt Forte|CHI|RB,Matt Forte,CHI,RB,30,Green,7,204.0
HillJer14,Jeremy Hill|CIN|RB,Jeremy Hill,CIN,RB,23,Green,7,203.0
RodgersAar05,Aaron Rodgers|GB|QB,Aaron Rodgers,GB,QB,32,Green,7,375.0
ThomasDem10,Demaryius Thomas|DEN|WR,Demaryius Thomas,DEN,WR,28,Yellow,7,204.0
LuckAnd12,Andrew Luck|IND|QB,Andrew Luck,IND,QB,26,Green,10,373.0
MurrayDeM11,DeMarco Murray|PHI|RB,DeMarco Murray,PHI,RB,27,Red,8,198.0
JohnsonCal07,Calvin Johnson|DET|WR,Calvin Johnson,DET,WR,30,Red,9,198.0
GronkowskiRob10,Rob Gronkowski|NE|TE,Rob Gronkowski,NE,TE,26,Yellow,4,165.0
JonesJul11,Julio Jones|ATL|WR,Julio Jones,ATL,WR,26,Green,10,192.0
BeckhamOde14,Odell Beckham|NYG|WR,Odell Beckham,NYG,WR,23,Green,11,191.0
McCoyLeS09,LeSean McCoy|BUF|RB,LeSean McCoy,BUF,RB,27,Green,8,185.0
NelsonJor08,Jordy Nelson|GB|WR,Jordy Nelson,GB,WR,30,Green,7,183.0
JefferyAls12,Alshon Jeffery|CHI|WR,Alshon Jeffery,CHI,WR,25,Green,7,183.0
ForsettJus08,Justin Forsett|BAL|RB,Justin Forsett,BAL,RB,30,Yellow,9,179.0
MillerLam12,Lamar Miller|MIA|RB,Lamar Miller,MIA,RB,24,Green,5,179.0
CobbRan11,Randall Cobb|GB|WR,Randall Cobb,GB,WR,25,Green,7,175.0
GreenA.J11,A.J. Green|CIN|WR,A.J. Green,CIN,WR,27,Green,7,171.0
HopkinsDea13,DeAndre Hopkins|HOU|WR,DeAndre Hopkins,HOU,WR,23,Green,9,167.0
HiltonT.Y12,T.Y. Hilton|IND|WR,T.Y. Hilton,IND,WR,26,Green,10,166.0
GordonMel15,Melvin Gordon|SD|RB,Melvin Gordon,SD,RB,22,Green,10,162.0
