espn_id,full_name,team,position,injury,fantasy_points
15825,Le'Veon Bell,Pit,RB,False,208.5
10452,Adrian Peterson,Min,RB,False,222.6
15848,Eddie Lacy,GB,RB,False,229.6
11307,Jamaal Charles,KC,RB,False,225.7
10456,Marshawn Lynch,Sea,RB,False,222.6
13934,Antonio Brown,Pit,WR,False,208.7
16040,C.J. Anderson,Den,RB,False,215.6
11278,Matt Forte,Chi,RB,False,205.4
14005,DeMarco Murray,Phi,RB,False,197.6
13216,Demaryius Thomas,Den,WR,False,195
12514,LeSean McCoy,Buf,RB,False,203.5
13229,Rob Gronkowski,NE,TE,False,155
13215,Dez Bryant,Dal,WR,False,194
16803,Jeremy Hill,Cin,RB,False,199.6
16733,Odell Beckham Jr.,NYG,WR,False,187
11270,Jordy Nelson,Jordy,Nelson,True,186
13982,Julio Jones,Atl,WR,False,187.1
10447,Calvin Johnson,Det,WR,False,188
13983,A.J. Green,Cin,WR,False,175.1
8439,Aaron Rodgers,GB,QB,False,325.1
14912,Alshon Jeffery,Chi,WR,False,173
14053,Randall Cobb,GB,WR,False,172
14924,T.Y. Hilton,Ind,WR,False,167.6
13981,Mark Ingram,NO,RB,False,187.6
14874,Andrew Luck,Ind,QB,False,321.2
16737,Mike Evans,TB,WR,False,160
13295,Emmanuel Sanders,Den,WR,False,154
15009,Alfred Morris,Wsh,RB,False,184.5
14886,Lamar Miller,Mia,RB,False,183.4
15795,DeAndre Hopkins,Hou,WR,False,147.1
16731,Brandin Cooks,NO,WR,False,151.8
13232,Jimmy Graham,Sea,TE,False,124.1
16777,Carlos Hyde,SF,RB,False,176.5
11467,Justin Forsett,Bal,RB,False,175.4
16763,Jordan Matthews,Phi,WR,False,141
14881,Russell Wilson,Sea,QB,False,301.7
17586,Melvin Gordon,SD,RB,False,158.3
1428,Peyton Manning,Den,QB,False,296
11247,Jonathan Stewart,Car,RB,False,172.4
12649,Julian Edelman,NE,WR,False,138
16725,Sammy Watkins,Buf,WR,False,140
8479,Frank Gore,Ind,RB,False,171.4
2580,Drew Brees,NO,QB,False,297.8
15818,Keenan Allen,SD,WR,False,139.6
17683,Todd Gurley,StL,RB,False,131.3
13536,Joique Bell,Joique,Bell,True,158.5
11283,DeSean Jackson,Wsh,WR,False,132.3
15920,Latavius Murray,Oak,RB,False,160.4
8475,Vincent Jackson,TB,WR,False,129
16013,Joseph Randle,Dal,RB,False,158.5
15893,Andre Ellington,Ari,RB,False,157.4
17678,T.J. Yeldon,Jac,RB,False,153.4
15826,Giovani Bernard,Cin,RB,False,136.3
12503,Rashad Jennings,NYG,RB,False,128.4
13203,C.J. Spiller,NO,RB,False,134.6
17677,Amari Cooper,Oak,WR,False,132
13217,Golden Tate,Det,WR,False,130.1
4461,Andre Johnson,Ind,WR,False,135.1
9705,Brandon Marshall,NYJ,WR,False,135
12601,Mike Wallace,Min,WR,False,122
12579,Jeremy Maclin,KC,WR,False,133.7
13213,LeGarrette Blount,NE,RB,False,134.4
10475,Greg Olsen,Car,TE,False,115.3
17133,Isaiah Crowell,Cle,RB,False,122.3
16790,Jarvis Landry,Mia,WR,False,131.2
13587,Chris Ivory,NYJ,RB,False,125.3
13204,Ryan Mathews,Phi,RB,False,126.6
16799,Allen Robinson,Jac,WR,False,131
5536,Ben Roethlisberger,Pit,QB,False,281.8
15847,Travis Kelce,KC,TE,False,107.3
13271,Eric Decker,NYJ,WR,False,123
16886,Martavis Bryant,Pit,WR,False,114
17668,Nelson Agholor,Phi,WR,False,114.1
14017,Shane Vereen,NYG,RB,False,112.3
8442,Roddy White,Atl,WR,False,110.1
11295,Martellus Bennett,Chi,TE,False,103.9
14032,Torrey Smith,SF,WR,False,118
16784,Tre Mason,StL,RB,False,90.2
14885,Doug Martin,TB,RB,False,118.2
14908,Michael Floyd,Ari,WR,False,113.1
4527,Jason Witten,Dal,TE,False,103
17689,Tevin Coleman,Atl,RB,False,141.4
11237,Matt Ryan,Atl,QB,False,275.6
15885,Charles Johnson,Min,WR,False,119
5528,Larry Fitzgerald,Ari,WR,False,113
17134,Alfred Blue,Hou,RB,False,87.2
14189,Jordan Cameron,Mia,TE,False,93.7
12576,Brandon LaFell,Brandon,LaFell,True,122.4
17580,Ameer Abdullah,Det,RB,False,125.3
16944,Devonta Freeman,Atl,RB,False,130.4
16794,Bishop Sankey,Ten,RB,False,124.3
12497,Arian Foster,Arian,Foster,True,146.3
9838,Marques Colston,NO,WR,False,109
17658,Duke Johnson,Cle,RB,False,108.3
11238,Darren McFadden,Dal,RB,False,76.2
16804,John Brown,Ari,WR,False,104
13994,Cam Newton,Car,QB,False,269.6
11788,Danny Woodhead,SD,RB,False,87.2
17674,Breshad Perriman,Bal,WR,False,114
16749,Charles Sims,TB,RB,False,98.2
16889,Andre Williams,NYG,RB,False,83.2
16950,Lorenzo Taliaferro,Bal,RB,False,85.2
10195,Fred Jackson,Buf,RB,False,63.2
14909,Kendall Wright,Ten,WR,False,110
2622,Steve Smith Sr.,Bal,WR,False,98.1
15823,Montee Ball,Den,RB,False,92.3
4512,Anquan Boldin,SF,WR,False,102
17682,Devin Funchess,Car,WR,False,115
9613,DeAngelo Williams,Pit,RB,False,55.1
15832,Knile Davis,KC,RB,False,87
15835,Zach Ertz,Phi,TE,False,93.5
5209,Tony Romo,Dal,QB,False,278
11439,Pierre Garcon,Wsh,WR,False,99
16800,Davante Adams,GB,WR,False,117
14204,Julius Thomas,Jac,TE,False,107.7
2330,Tom Brady,NE,QB,False,221.4
15951,Denard Robinson,Jac,RB,False,76.9
17593,DeVante Parker,Mia,WR,False,112
16793,Cody Latimer,Den,WR,False,116
14901,Dwayne Allen,Ind,TE,False,89.5
17578,David Cobb,Ten,RB,False,42.1
15994,Theo Riddick,Det,RB,False,50.1
16782,Jerick McKinnon,Min,RB,False,64.1
9588,Reggie Bush,SF,RB,False,69.5
16791,Donte Moncrief,Ind,WR,False,78
60026,SEA_DST,SEA,DST,False,187
16783,Terrance West,Cle,RB,False,73.3
60002,BUF_DST,BUF,DST,False,137
13553,Victor Cruz,NYG,WR,False,114
17556,Jay Ajayi,Mia,RB,False,28.1
11276,Eddie Royal,Chi,WR,False,101.3
60034,HOU_DST,HOU,DST,False,132
60014,STL_DST,STL,DST,False,124
8544,Darren Sproles,Phi,RB,False,63.9
12569,Percy Harvin,Buf,WR,False,97.8
17442,David Johnson,Ari,RB,False,40.1
15364,Jonas Gray,NE,RB,False,73.2
15072,Marvin Jones,Cin,WR,False,76
60020,NYJ_DST,NYJ,DST,False,111
60007,DEN_DST,DEN,DST,False,113
60033,BAL_DST,BAL,DST,False,109
60015,MIA_DST,MIA,DST,False,117
60022,ARI_DST,ARI,DST,False,101
16913,James White,NE,RB,False,79.2
9761,Delanie Walker,Ten,TE,False,91.6
15041,Daniel Herron,Ind,RB,False,70.2
60008,DET_DST,DET,DST,False,102
14876,Ryan Tannehill,Mia,QB,False,274.6
6016,Malcom Floyd,SD,WR,False,102
5526,Eli Manning,NYG,QB,False,271.9
9704,Stephen Gostkowski,NE,K,False,138
1097,Adam Vinatieri,Ind,K,False,136
11923,Steven Hauschka,Sea,K,False,134
11737,Connor Barth,Den,K,False,134
15683,Justin Tucker,Bal,K,False,132
17173,Cody Parkey,Phi,K,False,134
11122,Matt Prater,Det,K,False,132
4333,Matt Bryant,Atl,K,False,131
14322,Dan Bailey,Dal,K,False,130
11688,Dan Carpenter,Buf,K,False,130
16530,Khiry Robinson,NO,RB,False,40.1
14192,Roy Helu,Oak,RB,False,83.2
14221,Doug Baldwin,Sea,WR,False,97.4
14028,Stevan Ridley,Stevan,Ridley,True,28.1
17665,Dorial Green-Beckham,Ten,WR,False,81
5529,Philip Rivers,SD,QB,False,262.7
17704,Cameron Artis-Payne,Car,RB,False,43.1
12563,Michael Crabtree,Oak,WR,False,93
17695,Matt Jones,Wsh,RB,False,57.1
17143,Branden Oliver,SD,RB,False,33.1
12483,Matthew Stafford,Det,QB,False,261.7
5362,Antonio Gates,SD,TE,False,73.7
12489,Donald Brown,SD,RB,False,2
14914,Brian Quick,StL,WR,False,94
14001,Colin Kaepernick,SF,QB,False,252.2
15855,Christine Michael,Sea,RB,False,20
15878,Terrance Williams,Dal,WR,False,104
13197,Sam Bradford,Phi,QB,False,246.7
17505,Jeremy Langford,Chi,RB,False,19
4459,Carson Palmer,Ari,QB,False,243.4
17616,Javorius Allen,Bal,RB,False,54.1
15707,Larry Donnell,NYG,TE,False,86.9
16787,Marqise Lee,Jac,WR,False,61
17138,Damien Williams,Mia,RB,False,34.9
17709,Jaelen Strong,Hou,WR,False,49
16016,Kenny Stills,Mia,WR,False,92
60016,MIN_DST,MIN,DST,False,97
60017,NE_DST,NE,DST,False,126
10636,Mason Crosby,GB,K,False,129
16728,Teddy Bridgewater,Min,QB,False,242.4
15918,Caleb Sturgis,Mia,K,False,129
9597,Jay Cutler,Chi,QB,False,241.6
14894,Robert Turbin,Sea,RB,False,41.1
9684,Owen Daniels,Den,TE,False,80.9
14911,Rueben Randle,NYG,WR,False,93
16795,Austin Seferian-Jenkins,TB,TE,False,81.5
17145,Brandon Coleman,NO,WR,False,96
13214,James Starks,GB,RB,False,50.1
14921,Nick Toon,NO,WR,False,46
11252,Joe Flacco,Bal,QB,False,237.5
10467,Dwayne Bowe,Cle,WR,False,78
15873,Markus Wheaton,Pit,WR,False,81
14884,Trent Richardson,Oak,RB,False,9
16143,Josh Hill,NO,TE,False,77.6
14889,Chris Polk,Hou,RB,False,30.1
15807,Cordarrelle Patterson,Min,WR,False,37.4
16023,Marquess Wilson,Chi,WR,False,36
15457,Travaris Cadet,NE,RB,False,2
17700,Mike Davis,SF,RB,False,2
14895,Ronnie Hillman,Den,RB,False,20
15996,Zac Stacy,NYJ,RB,False,22
13211,Toby Gerhart,Jac,RB,False,35.1
15860,Jordan Reed,Wsh,TE,False,81.2
17399,Jameis Winston,TB,QB,False,238.4
14054,Kyle Rudolph,Min,TE,False,81.9
11258,Chris Johnson,Ari,RB,False,47.1
17643,Phillip Dorsett,Ind,WR,False,67.8
10713,Pierre Thomas,NO,RB,False,0
8444,Heath Miller,Pit,TE,False,81.9
60009,GB_DST,GB,DST,False,108
60021,PHI_DST,PHI,DST,False,114
15058,Blair Walsh,Min,K,False,128
1440,Phil Dawson,SF,K,False,127
11458,Stevie Johnson,SD,WR,False,91
15845,Justin Hunter,Ten,WR,False,42
14184,Cecil Shorts III,Hou,WR,False,63
10693,Ahmad Bradshaw,Ind,RB,False,0
15349,Cole Beasley,Dal,WR,False,66.2
9638,Greg Jennings,Mia,WR,False,62
14360,Matt Asiata,Min,RB,False,31.1
13158,Antone Smith,Atl,RB,False,19.1
17619,Tyler Lockett,Sea,WR,False,86.7
12556,Kenny Britt,StL,WR,False,87
13958,Andrew Hawkins,Cle,WR,False,67
17622,Josh Robinson,Ind,RB,False,27.1
17163,Allen Hurns,Jac,WR,False,82
12568,Brian Hartline,Cle,WR,False,58
17167,Corey Brown,Car,WR,False,30
16779,Josh Huff,Phi,WR,False,28
16942,Ka'Deem Carey,Chi,RB,False,19
15369,Lance Dunbar,Dal,RB,False,69.1
14145,Charles Clay,Buf,TE,False,76.9
8416,Alex Smith,KC,QB,False,234.3
14193,Jacquizz Rodgers,Chi,RB,False,30.1
14159,Kendall Hunter,SF,RB,False,11
17703,Kevin White,Kevin,White,True,56
17610,Marcus Mariota,Ten,QB,False,234.3
15501,Bobby Rainey,TB,RB,False,25.8
14891,Bernard Pierce,Jac,RB,False,0
14900,Coby Fleener,Ind,TE,False,76
14186,Jordan Todman,Car,RB,False,1
14012,Andy Dalton,Cin,QB,False,226.4
14151,Jeremy Kerley,NYJ,WR,False,62.5
60029,CAR_DST,CAR,DST,False,104
60005,CLE_DST,CLE,DST,False,96
9329,Nick Novak,SD,K,False,128
17169,Chandler Catanzaro,Ari,K,False,127
14129,Bilal Powell,NYJ,RB,False,51.1
15478,Brandon Bolden,NE,RB,False,23.1
14875,Robert Griffin,Wsh,QB,False,225.4
15632,Jonathan Grimes,Hou,RB,False,25.1
11674,Danny Amendola,NE,WR,False,69.4
13212,Boobie Dixon,Buf,RB,False,1
16055,Benjamin Cunningham,StL,RB,False,51.1
15428,Jermaine Kearse,Sea,WR,False,78
15092,Bryce Brown,Buf,RB,False,0
14922,Mohamed Sanu,Cin,WR,False,46
14892,Edwin Baker,NO,RB,False,3
17584,Devin Smith,NYJ,WR,False,51
17638,Chris Conley,KC,WR,False,45
16945,De'Anthony Thomas,KC,RBWR,False,46.3
16732,Eric Ebron,Det,TE,False,82.5
15788,Tyler Eifert,Cin,TE,False,83.5
14021,Leonard Hankerson,Atl,WR,False,70
14918,Jarius Wright,Min,WR,False,49
16838,Tyler Gaffney,Tyler,Gaffney,True,0
9592,Vernon Davis,SF,TE,False,75.4
16786,Richard Rodgers,GB,TE,False,74.7
17562,Sammie Coates,Pit,WR,False,26
16581,Marlon Brown,Bal,WR,False,34
13207,Dexter McCluster,Ten,WRRB,False,58.9
15786,Tavon Austin,StL,WR,False,74.2
11658,Mike Tolbert,Car,RB,False,51.2
60025,SF_DST,SF,DST,False,100
60012,KC_DST,KC,DST,False,80
10621,Nick Folk,NYJ,K,False,126
4680,Josh Brown,NYG,K,False,126
11717,Marcel Reece,Oak,RB,False,23.1
16884,Storm Johnson,Jac,RB,False,1
15966,Chris Thompson,Wsh,RB,False,10
16792,Jace Amaro,NYJ,TE,False,65.6
16757,Derek Carr,Oak,QB,False,218.3
13225,Riley Cooper,Phi,WR,False,42
16024,Kerwynn Williams,Ari,RB,False,2
15880,Robert Woods,Buf,WR,False,65.8
17605,Karlos Williams,Buf,RB,False,18
17660,Maxx Williams,Bal,TE,False,58.7
17182,Albert Wilson,KC,WR,False,45
15981,Stepfan Taylor,Ari,RB,False,6
17397,Josh Harris,Pit,RB,False,4
8664,Ryan Fitzpatrick,NYJ,QB,False,145.9
14877,Nick Foles,StL,QB,False,217.2
