fftoday_id,full_name,team,position,fantasy_points,bye
11452,Rob Gronkowski,NE,te,170.9,4
11505,Jimmy Graham,SEA,te,131.7,9
2761,Greg Olsen,CAR,te,128.5,5
13217,Travis Kelce,KC,te,115.4,9
2892,Martellus Bennett,CHI,te,110.7,7
2272,Jason Witten,DAL,te,106.9,6
2663,Delanie Walker,TEN,te,103.5,4
12309,Coby Fleener,IND,te,102.5,10
13104,Zach Ertz,PHI,te,100.5,8
2606,Vernon Davis,SF,te,92.7,10
12338,Dwayne Allen,IND,te,92.6,10
14427,Josh Hill,NO,te,91.8,11
2637,Owen Daniels,DEN,te,91.3,7
11897,Kyle Rudolph,MIN,te,87.5,5
2483,Heath Miller,PIT,te,86.4,11
2373,Antonio Gates,SD,te,85.8,10
11089,Jared Cook,STL,te,85.1,6
11983,Julius Thomas,JAC,te,84.5,8
13325,Jordan Reed,WAS,te,82.7,8
11956,Jordan Cameron,MIA,te,82.5,5
13101,Tyler Eifert,CIN,te,82.1,7
12028,Charles Clay,BUF,te,81.1,8
14311,Austin Seferian-Jenkins,TB,te,76.2,6
14302,Richard Rodgers,GB,te,73.5,7
14165,Eric Ebron,DET,te,69.3,9
14397,Larry Donnell,NYG,te,65.5,11
13336,Mychal Rivera,OAK,te,65.5,6
12384,Ladarius Green,SD,te,62.9,10
14108,Jace Amaro,NYJ,te,60.9,5
11923,Robert Housler,CLE,te,59.5,11
2803,Brent Celek,PHI,te,56.5,8
15338,Clive Walford,OAK,te,51.9,6
14195,Crockett Gillmore,BAL,te,50.8,9
15349,Maxx Williams,BAL,te,50.1,9
11901,Lance Kendricks,STL,te,49.6,6
2793,Scott Chandler,NE,te,45.6,4
3085,Ben Watson,NO,te,44.3,11
11528,Garrett Graham,HOU,te,43.5,9
11431,Jermaine Gresham,ARI,te,42.6,9
11564,Andrew Quarless,GB,te,41.5,7
13407,Levine Toilolo,ATL,te,40.8,10
2970,Jacob Tamme,ATL,te,40.5,10
12058,Virgil Green,DEN,te,38.6,7
11723,Jeff Cumberland,NYJ,te,38.6,5
13359,Dion Sims,MIA,te,34.5,5
2612,Marcedes Lewis,JAC,te,27.5,8
13105,Gavin Escobar,DAL,te,26.5,6
11020,Brandon Pettigrew,DET,te,24.6,9
11202,Brandon Myers,TB,te,23.4,6
11480,Ed Dickson,CAR,te,21.4,5
9000,BUF,,dst,142.0,8
9013,SEA,,dst,138.0,9
9016,PHI,,dst,133.0,8
9025,STL,,dst,131.0,6
9017,ARI,,dst,130.0,9
9028,CAR,,dst,124.0,5
9021,GB,,dst,122.0,7
9003,NE,,dst,121.0,4
9014,DAL,,dst,121.0,6
9020,DET,,dst,120.0,9
9010,KAN,,dst,119.0,9
9031,HOU,,dst,119.0,9
9030,BAL,,dst,115.0,9
9015,NYG,,dst,115.0,11
9009,DEN,,dst,114.0,7
9019,CHI,,dst,114.0,7
9002,MIA,,dst,113.0,5
9027,SAN,,dst,113.0,10
9005,CIN,,dst,112.0,7
9006,CLE,,dst,111.0,11
9001,IND,,dst,108.0,10
9022,MIN,,dst,102.0,5
9018,WAS,,dst,102.0,8
9029,JAC,,dst,101.0,8
9008,PIT,,dst,100.0,11
9024,ATL,,dst,100.0,10
9026,NO,,dst,98.0,11
9007,TEN,,dst,98.0,4
9023,TB,,dst,95.0,6
9004,NYJ,,dst,84.0,5
9011,OAK,,dst,79.0,6
9012,SD,,dst,79.0,10
12276,Andrew Luck,IND,qb,342.4,10
2480,Aaron Rodgers,GB,qb,333.9,7
12349,Russell Wilson,SEA,qb,303.2,9
1490,Peyton Manning,DEN,qb,287.7,7
11855,Cam Newton,CAR,qb,273.9,5
